lsoa_code,ward_code
E01000001,E05009288
E01000002,E05009302
E01000003,E05009302
E01000005,E05009310
E01000006,E05014066
E01000007,E05014066
E01000008,E05014066
E01000009,E05014066
E01000011,E05014066
E01000012,E05014066
E01000013,E05014067
E01000014,E05014067
E01000015,E05014054
E01000016,E05014054
E01000017,E05014067
E01000018,E05014054
E01000019,E05014057
E01000020,E05014057
E01000021,E05014057
E01000022,E05014057
E01000024,E05014057
E01000025,E05014065
E01000027,E05014058
E01000028,E05014058
E01000029,E05014058
E01000030,E05014058
E01000031,E05014058
E01000032,E05014058
E01000033,E05014059
E01000034,E05014059
E01000035,E05014054
E01000036,E05014054
E01000037,E05014059
E01000038,E05014059
E01000039,E05014059
E01000040,E05014060
E01000041,E05014060
E01000042,E05014060
E01000043,E05014060
E01000044,E05014060
E01000045,E05014060
E01000046,E05014060
E01000049,E05014061
E01000050,E05014053
E01000051,E05014061
E01000052,E05014061
E01000053,E05014062
E01000054,E05014062
E01000055,E05014060
E01000056,E05014062
E01000057,E05014060
E01000058,E05014062
E01000059,E05014062
E01000060,E05014063
E01000061,E05014059
E01000062,E05014063
E01000063,E05014067
E01000064,E05014063
E01000065,E05014067
E01000066,E05014064
E01000067,E05014064
E01000068,E05014064
E01000069,E05014064
E01000070,E05014064
E01000071,E05014064
E01000072,E05014065
E01000073,E05014065
E01000074,E05014065
E01000075,E05014067
E01000076,E05014065
E01000077,E05014067
E01000078,E05014069
E01000079,E05014067
E01000080,E05014067
E01000081,E05014067
E01000082,E05014069
E01000083,E05014069
E01000084,E05014062
E01000085,E05014056
E01000086,E05014062
E01000087,E05014056
E01000088,E05014056
E01000089,E05014056
E01000090,E05014056
E01000091,E05014055
E01000093,E05014068
E01000094,E05014055
E01000095,E05014055
E01000096,E05014060
E01000097,E05014069
E01000098,E05014069
E01000099,E05014071
E01000100,E05014069
E01000101,E05014069
E01000102,E05014069
E01000103,E05014070
E01000104,E05014070
E01000105,E05014070
E01000106,E05014070
E01000107,E05014070
E01000108,E05014070
E01000110,E05014058
E01000111,E05014071
E01000112,E05014071
E01000113,E05014071
E01000114,E05014071
E01000115,E05013629
E01000116,E05013629
E01000117,E05013629
E01000118,E05013629
E01000119,E05013629
E01000120,E05013629
E01000121,E05013629
E01000122,E05013629
E01000123,E05013629
E01000124,E05013629
E01000126,E05013632
E01000127,E05013630
E01000128,E05013630
E01000129,E05013630
E01000130,E05013630
E01000131,E05013630
E01000132,E05013630
E01000133,E05013630
E01000134,E05013630
E01000135,E05013631
E01000136,E05013631
E01000137,E05013631
E01000138,E05013631
E01000139,E05013631
E01000140,E05013631
E01000141,E05013634
E01000142,E05013631
E01000143,E05013634
E01000144,E05013631
E01000145,E05013631
E01000146,E05013631
E01000147,E05013633
E01000150,E05013633
E01000151,E05013632
E01000152,E05013632
E01000153,E05013632
E01000154,E05013632
E01000156,E05013640
E01000157,E05013640
E01000158,E05013640
E01000159,E05013640
E01000160,E05013640
E01000161,E05013640
E01000162,E05013640
E01000163,E05013640
E01000164,E05013640
E01000165,E05013640
E01000166,E05013635
E01000167,E05013635
E01000168,E05013635
E01000169,E05013635
E01000170,E05013635
E01000171,E05013635
E01000172,E05013635
E01000173,E05013635
E01000174,E05013635
E01000175,E05013635
E01000176,E05013636
E01000177,E05013636
E01000178,E05013636
E01000179,E05013636
E01000180,E05013636
E01000181,E05013636
E01000182,E05013636
E01000183,E05013636
E01000184,E05013636
E01000185,E05013636
E01000186,E05013638
E01000187,E05013638
E01000188,E05013638
E01000189,E05013637
E01000190,E05013637
E01000191,E05013637
E01000192,E05013637
E01000193,E05013637
E01000194,E05013637
E01000195,E05013638
E01000196,E05013639
E01000197,E05013639
E01000198,E05013639
E01000199,E05013639
E01000200,E05013639
E01000201,E05013639
E01000202,E05013639
E01000203,E05013639
E01000204,E05013639
E01000205,E05013641
E01000206,E05013641
E01000207,E05013641
E01000208,E05013641
E01000209,E05013641
E01000210,E05013641
E01000211,E05013641
E01000212,E05013642
E01000213,E05013641
E01000214,E05013641
E01000215,E05013642
E01000216,E05013642
E01000217,E05013642
E01000218,E05013642
E01000219,E05013642
E01000220,E05013642
E01000221,E05013634
E01000222,E05013634
E01000223,E05013634
E01000224,E05013634
E01000225,E05013642
E01000226,E05013630
E01000227,E05013637
E01000228,E05013638
E01000229,E05013638
E01000230,E05013638
E01000231,E05013638
E01000232,E05013637
E01000233,E05013637
E01000234,E05013637
E01000235,E05013630
E01000236,E05013643
E01000237,E05013643
E01000238,E05013643
E01000239,E05013643
E01000240,E05013643
E01000241,E05013643
E01000242,E05013643
E01000243,E05013643
E01000244,E05013643
E01000245,E05013643
E01000246,E05013628
E01000247,E05013628
E01000248,E05013644
E01000249,E05013644
E01000250,E05013644
E01000251,E05013628
E01000252,E05013628
E01000253,E05013644
E01000254,E05013644
E01000255,E05013645
E01000256,E05013645
E01000257,E05013646
E01000258,E05013645
E01000259,E05013645
E01000260,E05013645
E01000261,E05013645
E01000263,E05013645
E01000264,E05013645
E01000265,E05013640
E01000266,E05013650
E01000267,E05013628
E01000268,E05013628
E01000269,E05013628
E01000270,E05013628
E01000271,E05013628
E01000272,E05013650
E01000273,E05013650
E01000274,E05013650
E01000275,E05013646
E01000276,E05013646
E01000277,E05013646
E01000278,E05013646
E01000279,E05013646
E01000280,E05013646
E01000281,E05013650
E01000282,E05013646
E01000283,E05013646
E01000284,E05013650
E01000285,E05013647
E01000286,E05013644
E01000287,E05013647
E01000288,E05013647
E01000289,E05013647
E01000290,E05013644
E01000291,E05013647
E01000292,E05013647
E01000293,E05013647
E01000294,E05013647
E01000295,E05013648
E01000296,E05013648
E01000297,E05013648
E01000298,E05013648
E01000299,E05013648
E01000300,E05013648
E01000301,E05013648
E01000302,E05013648
E01000303,E05013648
E01000304,E05013639
